GStreamer,1
bad,1
"Dimensions, WxHxD (mm)",1
Video playback,1
AKernelLoader,1
MACRO-32,1
Tryton,1
BitTyrant,1
First success,1
Novial,1
Codec,1
"Kaj pardonu al ni niajn �?uldojn,",1
Birth control method,1
Substitution,1
WAVE chunks,1
DHT search,1
Thing,1
Country and (Argentine provinces),1
Sequential downloading,1
MasterBooter,1
AdroitLogic UltraESB,1
CalDAV Tasks,1
Encrypted file systems,1
Proxy server,1
KTorrent,1
"No multidimensional arrays (rectangular arrays), but arrays of references to arrays (jagged array).",1
PLoP Bootmanager,1
Default values,1
Vuze (formerly Azureus),1
Client name,1
Most recent update,1
rEFInd,1
Author,1
"Notes for the Java implementation:Ruby accessors names are generated from the attribute name with a = suffix. When assigning values, Java developers must use the Ruby accessor method name.Dynamic objects from a foreign language are not first-class objects in that they must be manipulated through an API.",1
Base stealing,1
First public release date,1
"Year (not dynamic, but easier for sorting)",1
Illegal pitch,1
Lossless compression,1
MPW IIgs Assembler,1
Remote control via web,1
Broad-catching (RSS),1
DHT,1
FLV,1
GUI on by default,1
Supported architectures,1
Directory,1
Players,1
WebSphere Enterprise Service Bus and WebSphere Process Server,1
Bookmark Sync and Sort,1
búfalo,1
Rank,1
Web seeding,1
ACM,1
Scriptable,1
Supported file system,1
Subsystem isolation mechanisms,1
Alexa Traffic Rank,1
Calendar and Contacts Server,1
Sun Java Composite Application Platform Suite,1
Preload Magnet metadata,1
Symbolic Programming System (SPS),1
Libtorrent (Rasterbar),1
"MMS (MMSU, MMST)",1
Israel,1
NetFile Certified(tax years),1
Export as sound file,1
Place,1
Tracker,1
Ignores DMCA,1
Fields and initialization,1
PEtALS ESB,1
good,1
"Kaj ne konduku nin en tenton,",1
BitLord,1
Resource access control,1
"kiel en la ĉielo, tiel ankaŭ sur la tero.",1
Vertical Drop,1
Player cost,1
APEv2 tag,1
Version,1
ID32,1
Base Elevation (ft),1
Main Battery,1
ID31,1
Development status,1
2D Bar Coded,1
Pitching,1
Cannot create an array where the component type is a generic realization (concrete parameterized type),1
via nomo estu sanktigita.,1
HTTP,1
Shareaza,1
Platform support,1
Address-of,1
Primary developers,1
Cannot create new instances using a type parameter as the type,1
Storage,1
Monaural beats,1
"Notes on the Java implementation:Files.readAllBytes method reads a whole file into a byte array.Files.write method writes a byte array into an output file, indicated by a Path object.Files.write method also takes care of buffering and closing the output stream.An explicit option should be specified for the Files.write method whether it should overwrite or append to the output file.StandardOpenOption.CREATE indicates that the output file should be created or overwritten if exists.",1
Megapixels,1
Video,1
Tracker exchange,1
Other Unix,1
RedBoot,1
MIPS,1
Supported OS,1
little,1
Arrays are implicitly direct specializations of Object. They are not unified with collection types.,1
Cache,1
BootIt Next Generation,1
Weak reference,1
Informatica Power Center,1
Automation Anywhere Integration Pack,1
Prioritization,1
Pitcher's area,1
Telephony app,1
Field,1
Soft and Phantom references,1
AiR-Boot,1
Interlingua,1
GRUB4DOS,1
buffle,1
Ratio between the release due to the bomb and the Chernobyl accident,1
Group-Office,1
Conditional compilation,1
Oracle,1
Miro,1
Oracle Enterprise Service Bus,1
User Interface Language(s),1
GPASM,1
Garbage collection,1
UDP tracker,1
Integrated firewall,1
Rockbox,1
ASEM-51,1
Latest stable release,1
Soviet,1
Avg Annual Snowfall,1
ID3E,1
Latest Release,1
well,1
Statements,1
Named arguments,1
Delivery,1
sed liberigu nin de la malbono.,1
Total Lifts,1
ALM (Assembly Language for Multics),1
Boot Camp,1
µTorrent for Windows,1
CLI,1
Expressions and operators,1
Proprietary implementations (codecs),1
Reflection cannot be used to construct new generic realizations. During compilation extra code (typecasts) are injected into the client code of generics. This precludes creating new realizations later.,1
Reviews and Comments,1
Operating System Support,1
Apache Synapse,1
"Embed audio (sounds, music, hypnosis)",1
Cross-language interoperability,1
Talend ESB,1
Isochronic tones,1
Atmos-pheric reentry,1
ANZAC,1
Textual/graphical,1
Visual Basic .NET,1
Adult Single DayLift Ticket Price,1
Autocoder,1
PASMO,1
Live view,1
Scripting language,1
Reference types,1
DOS,1
Binaural beats,1
Japanese,1
Based framework,1
India,1
Daylite Server,1
Data relay satellites,1
Gapless audio decoding,1
Classes/assembly search path,1
"Patro Nia, kiu estas en la ĉielo,",1
Openadaptor,1
OS X,1
Oracle BPEL Process Manager,1
Application,1
Extra player,1
American,1
XMPlay,1
"RTSP (RTSPU, RTSPT)",1
OpenESB,1
Transmission,1
Baselines,1
GNU/Linux,1
Vorbis comment,1
BitComet,1
Pitching distance,1
Most recent version,1
"Type checks and downcasts are injected into client code (the code referencing the generics). Compared to non-generic code with manual casts, these casts will be the same, but compared to compile-time verified code that would not need runtime casts and checks, these operations represent a performance overhead.",1
"Viewfinder magnification, coverage",1
UPnP,1
Release date,1
DAViCal,1
3D support?,1
Supported decompression,1
Amount,1
Nested types,1
Max/MSP,1
Patented,1
Main user interface type,1
NAT Port Mapping Protocol,1
Ogg,1
FSB/QDR Frequency (MHz),1
Das U-Boot,1
Portable Bookmarks,1
"Implemented as a retrofit for the java.util library having extra features, like data structures like sets and linked sets, and has a number of algorithms to manipulate elements of a collection, like finding the largest element based on some Comparator object, finding the smallest element, finding sublists within a list, reverse the contents of a list, shuffle the contents of a list, create immutable versions of a collection, performs sorts, and make binary searches.",1
OGM,1
FAP(Fortran Assembly Program),1
"EsperantoPatro nia, kiu estas en la ĉielo,Via nomo estu sanktigita.Venu Via regno,plenumi�?u Via volo,kiel en la ĉielo, tiel ankaŭ sur la tero.Nian panon ĉiutagan donu al ni hodiaŭ.Kaj pardonu al ni niajn �?uldojn,kiel ankaŭ ni pardonas al niaj �?uldantoj.Kaj ne konduku nin en tenton,sed liberigu nin de la malbono.",1
DRM,1
Release Date,1
Static members are shared across all generic realizations (during type erasure all realizations are folded into a single class),1
Lossy compression,1
Unix,1
DavMail,1
Deluge,1
x86-64,1
Limitations,1
Embedded tracker,1
Unit,1
Tomato Torrent,1
HP-UX,1
SPFdisk,1
Peak Elevation (ft),1
"feature, example usage",1
Supported architecture,1
Wyzo,1
Not Counted,1
GRUB Legacy,1
Photic,1
Runs on Windows?,1
Search engine,1
"Notes for the Java version:The infinite Fibonacci sequence is represented by the  class (as opposed to a method).The  class implements the  interface, which allows client code to request the Fibonacci numbers one at a time.The class implements the  method as always returning  since the Fibonacci sequence is infiniteThe  method calculates and returns the next number.The  interface formally also allows the client to request removal of numbers. As the Fibonacci sequence is a mathematically defined sequence, the  method is implemented as unsupported.The  annotation is necessary to avoid compiler warnings about possible unintentional overriding of base class methods.Because  is a primitive type and  is a generic interface, the Java compiler generates a boxing conversion for each number.",1
License type,1
Symbian OS,1
Conditional metadata,1
Public,1
OSL2000 Boot Manager,1
Type parameters cannot be used in declarations of static fields/methods or in definitions of static inner classes,1
Perfect-use failure rate (%),1
Babbage,1
Price,1
µTP,1
Packaging,1
SYSLINUX,1
SOCKS,1
Library,1
Arrays cannot be resized (though use of the System.arraycopy() method can allow for multi-step array resizing),1
"Preprocessing, Compilation and Packaging",1
Runner,1
GNU GRUB,1
IPv6,1
FFmpeg,1
BitTornado,1
Latest release,1
CD-Text,1
Clementine,1
MLDonkey,1
Headphone-free sessions,1
FlashGet,1
Reaktor,1
JBoss Enterprise SOA Platform,1
Zimbra,1
Generic exceptions are not allowed and a type parameter cannot be used in a catch clause,1
OS,1
Grammatical form,1
